,City,Country,Cloudiness,Humidity,Max Temp,Wind Speed,Lat,Lng
454,baijiantan,CN,0,65,43.95,6.73,45.63,85.18
455,calama,CL,0,5,71.6,19.46,-22.46,-68.93
456,kaitangata,NZ,0,76,48.81,7.52,-46.28,169.85
457,san cristobal,EC,75,40,68,21.92,-0.39,-78.55
458,puerto baquerizo moreno,EC,75,78,71.6,17.22,-0.9,-89.6
459,pundaguitan,PH,24,100,80.76,5.73,6.37,126.17
460,rujewa,TZ,0,60,58.71,5.73,-8.7,34.38
461,suez,EG,0,67,71.49,3.71,29.97,32.54
462,kieta,PG,92,100,79.14,3.04,-6.22,155.63
463,port blair,IN,64,100,81.39,34.36,11.67,92.75
464,zalantun,CN,36,83,43.14,2.26,48,122.72
465,batagay-alyta,RU,80,84,22.53,2.93,67.8,130.41
466,muravlenko,RU,36,94,44.13,7.85,63.79,74.5
467,katobu,ID,0,100,76.89,3.94,-4.94,122.53
468,chuka,KE,44,68,68.7,6.62,-0.33,37.65
469,kenora,CA,1,59,60.8,3.36,49.76,-94.48
470,turukhansk,RU,80,79,38.91,16.46,65.8,87.96
471,mayumba,GA,92,98,74.46,7.07,-3.44,10.65
472,havoysund,NO,75,87,48.2,12.75,71,24.66
473,sarab,IR,0,99,49.44,2.26,38.61,44.99
474,saint-denis,FR,0,77,69.8,8.05,48.94,2.36
475,kudahuvadhoo,MV,88,100,82.56,12.44,2.67,72.89
476,noshiro,JP,12,100,67.08,8.86,40.21,140.05
477,obando,PH,75,94,80.6,2.24,14.71,120.94
478,mae ramat,TH,100,99,70.68,2.48,16.98,98.52
479,hebi,CN,92,100,63.75,3.71,35.75,114.29
480,havre-saint-pierre,CA,90,57,50,6.93,50.23,-63.6
481,port-gentil,GA,75,88,78.8,10.29,-0.72,8.78
482,pasni,PK,0,100,77.88,12.21,25.26,63.48
483,kyritz,DE,0,59,66.81,9.75,52.94,12.4
484,puerto el triunfo,SV,40,66,87.8,9.17,13.27,-88.55
485,jacareacanga,BR,0,53,95,4.7,-6.22,-57.76
486,ampanihy,MG,0,48,66.18,2.82,-24.69,44.75
487,iwanuma,JP,0,85,56.46,3.38,38.11,140.86
488,rio gallegos,AR,75,60,42.8,11.41,-51.62,-69.22
489,narsaq,GL,75,27,51.8,19.46,60.91,-46.05
490,haines junction,CA,0,33,49.35,2.59,60.75,-137.51
491,saint-augustin,FR,0,73,71.6,9.17,44.83,-0.61
492,adre,TD,80,39,82.65,7.63,13.47,22.2
493,bilma,NE,44,19,85.35,6.96,18.69,12.92
494,ewa beach,US,75,69,82.04,9.17,21.32,-158.01
495,ypsonas,CY,0,50,80.6,4.7,34.69,32.96
496,gaozhou,CN,56,100,73.11,2.48,21.91,110.85
497,mazamari,PE,24,85,72.3,1.7,-11.33,-74.53
498,alakurtti,RU,12,72,43.77,5.61,66.96,30.34
499,quelimane,MZ,0,78,77,12.75,-17.88,36.89
500,sindhnur,IN,44,92,70.95,8.75,15.78,76.77
501,maxixe,MZ,0,78,75.2,6.93,-23.86,35.35
502,corn island,NI,88,100,84.09,7.96,12.17,-83.04
503,cabedelo,BR,75,69,80.6,14.99,-6.97,-34.84
504,qingdao,CN,75,83,69.8,6.71,36.09,120.35
505,makakilo city,US,75,69,82.04,9.17,21.35,-158.09
506,conde,BR,44,85,76.89,11.43,-11.81,-37.61
507,bongouanou,CI,20,86,76.89,4.94,6.65,-4.2
508,samarai,PG,92,100,75.36,21.05,-10.62,150.67
509,la ronge,CA,75,81,44.6,8.05,55.1,-105.3
510,inverell,AU,64,73,54.48,7.85,-29.78,151.11
511,santiago del estero,AR,0,35,88.41,14.23,-27.8,-64.26
512,thenzawl,IN,32,98,70.95,1.81,23.28,92.78
513,murgab,TM,0,36,77,9.17,37.5,61.97
514,sarkand,KZ,0,65,34.41,3.15,45.41,79.91
515,jalu,LY,0,45,70.59,4.16,29.03,21.55
516,kichera,RU,80,100,37.11,4.94,55.93,110.1
517,kenai,US,90,79,55.04,6.93,60.55,-151.26
518,almaznyy,RU,20,79,52.5,7.63,48.03,40.04
519,igrim,RU,48,92,40.8,3.27,63.19,64.42
520,dongning,CN,32,86,46.83,2.37,44.06,131.12
521,severomuysk,RU,92,99,34.77,2.15,56.17,113.57
522,berlevag,NO,75,81,46.4,17.22,70.86,29.09
523,port augusta,AU,0,93,39.2,6.93,-32.49,137.76
524,terekli-mekteb,RU,0,72,49.17,3.6,44.16,45.87
525,ossora,RU,92,100,50.43,21.94,59.24,163.07
526,asaka,JP,90,93,68,5.17,35.82,139.6
527,bowen,AU,40,88,62.6,3.36,-20.01,148.25
528,maamba,ZM,0,41,63.57,5.17,-17.36,27.22
529,tsivilsk,RU,75,93,51.8,11.18,55.87,47.47
530,raudeberg,NO,75,100,59,12.75,61.99,5.14
531,liverpool,GB,40,88,64.4,16.11,53.41,-2.98
532,moron,VE,32,77,79.41,3.15,10.49,-68.2
533,varhaug,NO,75,93,60.8,19.46,58.61,5.65
534,mauganj,IN,0,86,71.31,2.71,24.67,81.88
535,rio negrinho,BR,32,68,66.99,4.72,-26.26,-49.52
536,petropavlovsk-kamchatskiy,RU,75,100,46.4,2.24,53.05,158.65
537,kattivakkam,IN,75,88,78.8,6.93,13.22,80.32
538,namwala,ZM,0,28,72.75,11.43,-15.75,26.45
539,noyabrsk,RU,80,97,47.01,9.08,63.2,75.45
540,isangel,VU,56,100,69.69,11.21,-19.55,169.27
541,black river,JM,75,70,87.8,14.99,18.03,-77.85
542,chimbote,PE,0,77,66.45,12.44,-9.08,-78.59
543,arshan,YE,0,82,62.94,4.38,14.32,46.95
